state_abbr,year,lfp_sa
MO,2016,64.60833333333333
MO,2017,63.99166666666667
MO,2018,63.64166666666667
MO,2019,63.89166666666667
MT,2010,64.40833333333333
MT,2011,64.01666666666667
MT,2012,64.225
MT,2013,64.14166666666667
MT,2014,63.791666666666664
MT,2015,63.80833333333334
MT,2016,63.65
MT,2017,63.35833333333333
MT,2018,63.34166666666667
MT,2019,63.68333333333334
NE,2010,71.48333333333333
NE,2011,71.75833333333334
NE,2012,71.925
NE,2013,71.60000000000001
NE,2014,70.75
NE,2015,70.13333333333333
NE,2016,69.91666666666667
NE,2017,69.40833333333333
NE,2018,69.75833333333334
NE,2019,70.34166666666667
NV,2010,65.71666666666667
NV,2011,65.02499999999999
NV,2012,64.51666666666667
NV,2013,63.775
NV,2014,63.15833333333333
NV,2015,62.71666666666667
NV,2016,62.225
NV,2017,62.583333333333336
NV,2018,63.4
NV,2019,64.15833333333333
NH,2010,69.90833333333333
NH,2011,69.41666666666667
NH,2012,69.28333333333333
NH,2013,69.08333333333333
NH,2014,68.61666666666666
NH,2015,68.47500000000001
NH,2016,68.575
NH,2017,68.19166666666666
NH,2018,68.55833333333332
NH,2019,68.86666666666666
NJ,2010,66.63333333333334
NJ,2011,66.14999999999999
NJ,2012,66.00833333333334
NJ,2013,65.01666666666667
NJ,2014,64.22500000000001
NJ,2015,64.13333333333334
NJ,2016,63.93333333333333
NJ,2017,63.449999999999996
NJ,2018,63.00833333333333
NJ,2019,63.833333333333336
NM,2010,59.61666666666667
NM,2011,58.68333333333334
NM,2012,58.475
NM,2013,58.175000000000004
NM,2014,58.10833333333333
NM,2015,58.225
NM,2016,58.225
NM,2017,57.975
NM,2018,57.69166666666667
NM,2019,57.975
NY,2010,62.63333333333333
NY,2011,61.583333333333336
NY,2012,61.675000000000004
NY,2013,61.61666666666667
NY,2014,60.675000000000004
NY,2015,60.650000000000006
NY,2016,60.55833333333334
NY,2017,60.74166666666667
NY,2018,60.550000000000004
NY,2019,60.708333333333336
NC,2010,63.5
NC,2011,62.833333333333336
NC,2012,62.9
NC,2013,61.89166666666667
NC,2014,61.074999999999996
NC,2015,61.050000000000004
NC,2016,61.208333333333336
NC,2017,61.36666666666667
NC,2018,61.23333333333333
NC,2019,61.525
ND,2010,72.97500000000001
ND,2011,72.93333333333334
ND,2012,72.8
ND,2013,71.89166666666667
ND,2014,71.74166666666666
ND,2015,70.75
ND,2016,70.725
ND,2017,70.61666666666666
ND,2018,69.95833333333333
ND,2019,69.94166666666666
OH,2010,65.19166666666666
OH,2011,64.13333333333334
OH,2012,63.28333333333333
OH,2013,62.94166666666666
OH,2014,62.791666666666664
OH,2015,62.56666666666666
OH,2016,62.80833333333334
OH,2017,63.0
OH,2018,62.78333333333333
OH,2019,63.225
OK,2010,62.28333333333333
OK,2011,61.63333333333333
OK,2012,62.10833333333334
OK,2013,61.625
OK,2014,61.025
OK,2015,61.65833333333333
OK,2016,61.175000000000004
OK,2017,61.125
OK,2018,61.19166666666666
OK,2019,61.15833333333333
OR,2010,65.41666666666667
OR,2011,64.91666666666667
OR,2012,63.35
OR,2013,61.64166666666667
OR,2014,61.65833333333333
OR,2015,61.583333333333336
OR,2016,62.275
OR,2017,62.4
OR,2018,61.76666666666667
